NÚMERO DO TERMO;ANO DO TERMO;CPF/CNPJ;RAZÃO SOCIAL;OBJETO;DATA DA ASSINATURA;DATA DE PUBLICAÇÃO;VIGÊNCIA;SITUAÇÃO
6;2025;07195358000166;UNIVERSIDADE ESTACIO DE SÁ;Este Convênio tem como objeto a concessão de estágio, obrigatório ou não obrigatório, pelo TRIBUNAL, a estudantes regularmente matriculados e frequentes nos seguintes cursos da INSTITUIÇÃO CONVENIADA.;04/07/2025;07/07/2025;07/04/2030 00:00:00;Não informada
2;2025;16745465000101;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;Este ACORDO tem por objeto aprimorar e agilizar o fornecimento de documentos e informações entre os partícipes, visando conferir celeridade aos procedimentos judiciais de interesse do TRIBUNAL a cargo da AGE, bem como nos procedimentos de cumprimento de decisões do TRIBUNAL no âmbito da Administração Pública Estadual.;06/08/2025;07/08/2025;;Não informada
1;2025;37161122000170;Associação dos Membros dos Tribunais de Contas do Brasil (Atricon);O presente TERMO DE ADESÃO tem por objeto a adesão do Tribunal de Contas do Estado de Minas Gerais ao ACORDO assinado pela Atricon e TCU em 12/11/2024 e publicado no Diário Oficial da União.;24/01/2025;27/01/2025;11/12/2026 00:00:00;Não informada
1;2025;04976700000177;TRIBUNAL DE CONTAS DO ESTADO DO PARÁ.;"Este acordo tem por objeto estabelecer programa de cooperação educacional, técnico e científico entre o TCEPA e o TCEMG, para o desenvolvimento de cursos, sistemas tecnológicos, estudos, pesquisas e ações direcionadas à capacitação de servidores, membros e gestores públicos.

 ";24/01/2025;27/01/2025;01/27/2030 00:00:00;Não informada
1910003222;2025;16907746000113;SECRETARIA DE ESTADO DE FAZENDA;O presente Termo tem por objetivo o intercâmbio de dados e informações entre os partícipes, para aprimoramento e desenvolvimento de suas atividades.;24/01/2025;23/01/2025;02/07/2030 00:00:00;Não informada
1;2025;0546114200017;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO - SEPLAG;"Constitui objeto deste Termo a descentralização de crédito orçamentário à Secretaria de Estado de Planejamento e Gestão, destinado o custeio, por parte do TCEMG, às despesas dos serviços disponibilizados pela SUBLOG/SEPLAG, sendo os serviços de contratação de 1 (um) posto de serviço de frentista no contrato da Minas Gerais Administração e Serviços S.A, e o custeio do gerenciamento do abastecimento por meio de dispositivos eletrônicos no contrato ABASTEK Automação LTDA.

 ";22/01/2025;23/01/2025;12/31/2025 00:00:00;Não informada
1;2025;21154554000113; TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS;O presente termo tem por objeto a conjugação de esforços entre os partícipes, mediante ações institucionais, no âmbito de suas respectivas competências, e ações conjuntas de orientação aos gestores públicos com o objetivo de tornar mais célere e eficaz a recomposição das receitas públicas.;26/03/2025;27/03/2025;05/07/2030 00:00:00;Não informada
4;2025;05461142000170;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO;O presente Acordo de Cooperação Técnica tem por objeto a o levantamento dos dados cadastrais dos segurados para subsidiar a criação, atualização e consolidação do Cadastro Nacional de Informações Sociais dos Regimes Próprios de Previdência Social para o Censo Cadastral Previdenciário dos membros e servidores, ativos e aposentados, do TCE/MG, vinculados ao Regime Próprio de Previdência Social do Estado de Minas Gerais (RPPS-MG), de que trata o art. 9º, II, da Lei Federal nº 10.887/2004.;27/03/2025;28/03/2025;12/31/2025 00:00:00;Não informada
4;2025;17513235000180;ASSOCIAÇÃO MÁRIO PENNA;"O presente Acordo tem por objeto estabelecer cooperação entre o TCE/MG e a ASSOCIAÇÃO na operacionalização do projeto intitulado ""Jornada de Excelência do Paciente Oncológico"" (ANEXO I), com foco na implementação de ações integradas destinadas a:

a) Expandir e acelerar o rastreamento do câncer de mama, eliminando as filas para realização de exames.

b) Melhorar o acesso ao serviço oncológico especializado por meio da criação do Núcleo de Matriciamento em Oncologia.

c) Desenvolver um modelo replicável de monitoramento da Jornada de Excelência dos Pacientes Oncológicos.";12/03/2025;13/03/2025;03/12/2027 00:00:00;Não informada
1;2025;20971057000145;MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS;"Protocolo de intenções celebrado para fomentar a cooperação entre as partes para o desenvolvimento de estratégias e ações interinstitucionais integradas visando à consecução dos objetivos do projeto ""Crescer Juntos: Creches e Oportunidades"". para garantia do acesso a creches para crianças de 0 a 3 anos no Estado de Minas Gerais.";04/04/2025;09/04/2025;10/03/2026 00:00:00;Não informada
